"Country or Area","Year","Value","Value Footnotes"
"Austria","2005","0.89",""
"Austria","2004","0.9",""
"Austria","2003","0.91",""
"Austria","2002","0.91",""
"Austria","2001","0.92",""
"Austria","2000","0.92",""
"Austria","1999","0.93",""
"Austria","1998","0.93",""
"Austria","1997","0.94",""
"Austria","1996","0.96",""
"Austria","1995","0.97",""
"Austria","1994","0.97",""
"Austria","1993","0.96",""
"Austria","1992","0.96",""
"Austria","1991","0.94",""
"Austria","1990","0.94",""
"Belgium","2005","0.87",""
"Belgium","2004","0.88",""
"Belgium","2003","0.88",""
"Belgium","2002","0.88",""
"Belgium","2001","0.88",""
"Belgium","2000","0.89",""
"Belgium","1999","0.89",""
"Belgium","1998","0.9",""
"Belgium","1997","0.89",""
"Belgium","1996","0.9",""
"Belgium","1995","0.91",""
"Belgium","1994","0.91",""
"Belgium","1993","0.92",""
"Belgium","1992","0.9",""
"Belgium","1991","0.89",""
"Belgium","1990","0.9",""
"Canada","2005","1.25",""
"Canada","2004","1.25",""
"Canada","2003","1.24",""
"Canada","2002","1.23",""
"Canada","2001","1.24",""
"Canada","2000","1.25",""
"Canada","1999","1.23",""
"Canada","1998","1.23",""
"Canada","1997","1.25",""
"Canada","1996","1.25",""
"Canada","1995","1.26",""
"Canada","1994","1.25",""
"Canada","1993","1.26",""
"Canada","1992","1.27",""
"Canada","1991","1.29",""
"Canada","1990","1.29",""
"Czech Republic","2005","13.92",""
"Czech Republic","2004","14.25",""
"Czech Republic","2003","14.12",""
"Czech Republic","2002","14.27",""
"Czech Republic","2001","14.12",""
"Czech Republic","2000","13.79",""
"Czech Republic","1999","13.88",""
"Czech Republic","1998","13.69",""
"Czech Republic","1997","12.47",""
"Czech Republic","1996","11.69",""
"Czech Republic","1995","10.8",""
"Czech Republic","1994","9.42",""
"Czech Republic","1993","8.33",""
"Czech Republic","1992","7.2",""
"Czech Republic","1991","6.53",""
"Czech Republic","1990","4.96",""
"Denmark","2005","8.35",""
"Denmark","2004","8.38",""
"Denmark","2003","8.42",""
"Denmark","2002","8.43",""
"Denmark","2001","8.38",""
"Denmark","2000","8.37",""
"Denmark","1999","8.31",""
"Denmark","1998","8.29",""
"Denmark","1997","8.28",""
"Denmark","1996","8.25",""
"Denmark","1995","8.25",""
"Denmark","1994","8.31",""
"Denmark","1993","8.36",""
"Denmark","1992","8.49",""
"Denmark","1991","8.54",""
"Denmark","1990","8.61",""
"Finland","2005","0.91",""
"Finland","2004","0.92",""
"Finland","2003","0.94",""
"Finland","2002","0.97",""
"Finland","2001","0.97",""
"Finland","2000","0.97",""
"Finland","1999","0.96",""
"Finland","1998","0.97",""
"Finland","1997","0.95",""
"Finland","1996","0.95",""
"Finland","1995","0.97",""
"Finland","1994","0.94",""
"Finland","1993","0.95",""
"Finland","1992","0.94",""
"Finland","1991","0.95",""
"Finland","1990","0.97",""
"France","2005","0.88",""
"France","2004","0.89",""
"France","2003","0.9",""
"France","2002","0.9",""
"France","2001","0.89",""
"France","2000","0.9",""
"France","1999","0.91",""
"France","1998","0.92",""
"France","1997","0.92",""
"France","1996","0.93",""
"France","1995","0.93",""
"France","1994","0.94",""
"France","1993","0.94",""
"France","1992","0.95",""
"France","1991","0.95",""
"France","1990","0.96",""
"Germany","2005","0.91",""
"Germany","2004","0.93",""
"Germany","2003","0.95",""
"Germany","2002","0.96",""
"Germany","2001","0.96",""
"Germany","2000","0.97",""
"Germany","1999","1",""
"Germany","1998","1.01",""
"Germany","1997","1.02",""
"Germany","1996","1.03",""
"Germany","1995","1.05",""
"Germany","1994","1.05",""
"Germany","1993","1.04",""
"Germany","1992","1.03",""
"Germany","1991","1",""
"Germany","1990","1",""
"Greece","2005","0.7",""
"Greece","2004","0.69",""
"Greece","2003","0.69",""
"Greece","2002","0.68",""
"Greece","2001","0.66",""
"Greece","2000","0.67",""
"Greece","1999","0.66",""
"Greece","1998","0.65",""
"Greece","1997","0.62",""
"Greece","1996","0.59",""
"Greece","1995","0.56",""
"Greece","1994","0.52",""
"Greece","1993","0.48",""
"Greece","1992","0.43",""
"Greece","1991","0.38",""
"Greece","1990","0.33",""
"Hungary","2005","119.62",""
"Hungary","2004","120.79",""
"Hungary","2003","118.85",""
"Hungary","2002","114.72",""
"Hungary","2001","108.14",""
"Hungary","2000","102.12",""
"Hungary","1999","92.42",""
"Hungary","1998","86.47",""
"Hungary","1997","77.62",""
"Hungary","1996","66.61",""
"Hungary","1995","56.02",""
"Hungary","1994","45.1",""
"Hungary","1993","38.54",""
"Hungary","1992","32.51",""
"Hungary","1991","27.37",""
"Hungary","1990","20.87",""
"Iceland","2005","90.48",""
"Iceland","2004","90.54",""
"Iceland","2003","90.8",""
"Iceland","2002","92.18",""
"Iceland","2001","88.79",""
"Iceland","2000","83.7",""
"Iceland","1999","82.53",""
"Iceland","1998","81.14",""
"Iceland","1997","78.12",""
"Iceland","1996","77.17",""
"Iceland","1995","76.74",""
"Iceland","1994","76.03",""
"Iceland","1993","75.66",""
"Iceland","1992","76.01",""
"Iceland","1991","75.17",""
"Iceland","1990","71.75",""
"Ireland","2005","1",""
"Ireland","2004","1",""
"Ireland","2003","1",""
"Ireland","2002","1",""
"Ireland","2001","0.97",""
"Ireland","2000","0.94",""
"Ireland","1999","0.91",""
"Ireland","1998","0.89",""
"Ireland","1997","0.84",""
"Ireland","1996","0.83",""
"Ireland","1995","0.83",""
"Ireland","1994","0.82",""
"Ireland","1993","0.82",""
"Ireland","1992","0.8",""
"Ireland","1991","0.79",""
"Ireland","1990","0.81",""
"Italy","2005","0.83",""
"Italy","2004","0.84",""
"Italy","2003","0.83",""
"Italy","2002","0.82",""
"Italy","2001","0.81",""
"Italy","2000","0.81",""
"Italy","1999","0.81",""
"Italy","1998","0.81",""
"Italy","1997","0.8",""
"Italy","1996","0.79",""
"Italy","1995","0.77",""
"Italy","1994","0.74",""
"Italy","1993","0.73",""
"Italy","1992","0.72",""
"Italy","1991","0.71",""
"Italy","1990","0.68",""
"Japan","2005","127.25",""
"Japan","2004","133.5",""
"Japan","2003","138.6",""
"Japan","2002","143.67",""
"Japan","2001","148.52",""
"Japan","2000","154",""
"Japan","1999","160.09",""
"Japan","1998","164.58",""
"Japan","1997","166.5",""
"Japan","1996","168.4",""
"Japan","1995","172.75",""
"Japan","1994","177.16",""
"Japan","1993","180.73",""
"Japan","1992","183.91",""
"Japan","1991","185.13",""
"Japan","1990","186.13",""
"Luxembourg","2005","1",""
"Luxembourg","2004","0.99",""
"Luxembourg","2003","1.01",""
"Luxembourg","2002","0.98",""
"Luxembourg","2001","0.97",""
"Luxembourg","2000","0.99",""
"Luxembourg","1999","0.99",""
"Luxembourg","1998","0.96",""
"Luxembourg","1997","0.97",""
"Luxembourg","1996","1.01",""
"Luxembourg","1995","1",""
"Luxembourg","1994","0.99",""
"Luxembourg","1993","0.98",""
"Luxembourg","1992","0.95",""
"Luxembourg","1991","0.93",""
"Luxembourg","1990","0.95",""
"Netherlands","2005","0.9",""
"Netherlands","2004","0.91",""
"Netherlands","2003","0.93",""
"Netherlands","2002","0.92",""
"Netherlands","2001","0.9",""
"Netherlands","2000","0.88",""
"Netherlands","1999","0.86",""
"Netherlands","1998","0.86",""
"Netherlands","1997","0.86",""
"Netherlands","1996","0.85",""
"Netherlands","1995","0.86",""
"Netherlands","1994","0.86",""
"Netherlands","1993","0.86",""
"Netherlands","1992","0.86",""
"Netherlands","1991","0.86",""
"Netherlands","1990","0.87",""
"Norway","2005","9.96",""
"Norway","2004","9.47",""
"Norway","2003","9.2",""
"Norway","2002","9.14",""
"Norway","2001","9.45",""
"Norway","2000","9.57",""
"Norway","1999","8.44",""
"Norway","1998","8.03",""
"Norway","1997","8.18",""
"Norway","1996","8.08",""
"Norway","1995","7.91",""
"Norway","1994","7.85",""
"Norway","1993","8.02",""
"Norway","1992","8.02",""
"Norway","1991","8.26",""
"Norway","1990","8.36",""
"Poland","2005","1.81",""
"Poland","2004","1.82",""
"Poland","2003","1.8",""
"Poland","2002","1.83",""
"Poland","2001","1.82",""
"Poland","2000","1.8",""
"Poland","1999","1.71",""
"Poland","1998","1.64",""
"Poland","1997","1.49",""
"Poland","1996","1.33",""
"Poland","1995","1.15",""
"Poland","1994","0.83",""
